"filename", "language", "JavaScript", "JSON", "JSON with Comments", "CSS", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"h:\5.Projects\CoreNex UI\client\src\components\AnchorLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"h:\5.Projects\CoreNex UI\client\src\components\AnimatedCode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 9, 17, 158
"h:\5.Projects\CoreNex UI\client\src\components\AnimatedLoading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"h:\5.Projects\CoreNex UI\client\src\components\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 71
"h:\5.Projects\CoreNex UI\client\src\components\AssignPermissions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 201, 0, 1, 8, 210
"h:\5.Projects\CoreNex UI\client\src\components\Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"h:\5.Projects\CoreNex UI\client\src\components\Btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 2, 78
"h:\5.Projects\CoreNex UI\client\src\components\Cardcomp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 194, 0, 3, 6, 203
"h:\5.Projects\CoreNex UI\client\src\components\ChallengesPosts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 171, 0, 3, 24, 198
"h:\5.Projects\CoreNex UI\client\src\components\CheckBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"h:\5.Projects\CoreNex UI\client\src\components\Code.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 22, 8, 132
"h:\5.Projects\CoreNex UI\client\src\components\CodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"h:\5.Projects\CoreNex UI\client\src\components\CreateEventModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 11, 20, 245
"h:\5.Projects\CoreNex UI\client\src\components\CreatechallengesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 0, 13, 21, 264
"h:\5.Projects\CoreNex UI\client\src\components\CssChallengeDescription.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 135, 0, 16, 11, 162
"h:\5.Projects\CoreNex UI\client\src\components\CssChallengesEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 729, 0, 54, 53, 836
"h:\5.Projects\CoreNex UI\client\src\components\CssElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 2, 18, 150
"h:\5.Projects\CoreNex UI\client\src\components\CssElementsCategory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 8, 7, 88
"h:\5.Projects\CoreNex UI\client\src\components\Csscard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"h:\5.Projects\CoreNex UI\client\src\components\Csschallengecard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 3, 10, 119
"h:\5.Projects\CoreNex UI\client\src\components\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 35, 10, 138
"h:\5.Projects\CoreNex UI\client\src\components\DatePickerrange.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 2, 3, 72
"h:\5.Projects\CoreNex UI\client\src\components\DeleteModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 7, 7, 99
